,Year,GDP-US,Unemployment-US,GDP-IN,Population-IN
0,2020,21060473613000,3.966666666666667,468394937255.803,1396387127
1,2019,21380976119000,4.741666666666666,485441014538.638,1383112050
2,2018,20533057312000,5.783333333333334,514937948874.212,1369003306
3,2017,19477336549000,5.991666666666667,607699285436.048,1354195680
4,2016,18695110842000,5.541666666666667,709148514815.787,1338636340
5,2015,18206020741000,5.083333333333333,820381595510.643,1322866505
6,2014,17550680174000,4.608333333333333,940259888794.351,1307246509
7,2013,16843190993000,4.616666666666666,1216736438842.41,1291132063
8,2012,16253972230000,5.8,1198895139014.62,1274487215
9,2011,15599728123000,9.283333333333333,1341888016984.36,1257621191
10,2010,15048964444000,9.608333333333334,1675615519489.35,1240613620
11,2009,14478064934000,8.933333333333334,1823051829900.81,1223640160
12,2008,14769857911000,8.075,1827637590787.19,1206734806
13,2007,14474226905000,7.358333333333333,1856721507681.08,1189691809
14,2006,13815586948000,6.158333333333334,2039126479228.11,1172373788
15,2005,13039199193000,5.2749999999999995,2103588360066.32,1154638713
16,2004,12217193198000,4.875,2294796885682.55,1136264583
17,2003,11456442041000,4.358333333333333,2651474262735.28,1117415123
18,2002,10929112955000,3.891666666666666,2702929641707.38,1098313039
19,2001,10581929774000,3.6750000000000003,2835606256616.03,1078970907
20,2000,10250947997000,3.6,2671595405986.86,1059633675
